i_lambda,lambda,alpha,beta,sd_beta
138,1537,0.13852387179999842,-0.09989923988259226,0.0066404188136786006
139,1538,0.15913010063999847,-0.09864726167926743,0.006400943598718491
140,1539,0.17990202595999846,-0.09783190212395608,0.006267326967191932
141,1540,0.2005479727999985,-0.09677101966629853,0.006258110599872233
142,1541,0.22126531195999846,-0.09608459387335959,0.006247280647808447
143,1542,0.24210890499999851,-0.0956412455159044,0.0061980311957328055
144,1543,0.2628697521599985,-0.09615947456590336,0.006226437051441643
145,1544,0.2838336979199985,-0.09623128514233717,0.006346240809437486
146,1545,0.3051663184799985,-0.09558768340150549,0.0061302504424400025
147,1546,0.3260961903599985,-0.09483105791200756,0.005962263275086602
148,1547,0.3463360817999985,-0.0937714104192203,0.005894149407555071
149,1548,0.36557922971999857,-0.09324907497777642,0.005763326578864406
150,1549,0.38424240347999855,-0.09372267905721804,0.005765298716872098
151,1550,0.4027390887999986,-0.09400957220759254,0.005862386817158079
152,1551,0.42115436607999845,-0.09354667701714087,0.0057529726172918134
153,1552,0.4400004795199986,-0.09320704257873853,0.005488804214657576
154,1553,0.45854792379999865,-0.09195230757137188,0.0052616889164675985
155,1554,0.4765053332799985,-0.09009470019034255,0.00498230279885322
156,1555,0.4947339566799986,-0.08994637333656935,0.004949090359557905
157,1556,0.5126974460799986,-0.08933747459389804,0.00497362970848742
158,1557,0.5301776936799987,-0.08729716429741362,0.005126442163486274
159,1558,0.5475140185999987,-0.08584886644906707,0.005257517503605296
160,1559,0.5643479331999988,-0.08450384208111121,0.005150672376857212
161,1560,0.5810978159999987,-0.08240464676015735,0.005077123789699077
162,1561,0.5979318157199988,-0.08087788480777962,0.005126698713493253
163,1562,0.6144920049999988,-0.08025555711927125,0.0049557064961189366
164,1563,0.6309114558799989,-0.07935227777201348,0.004868489818505101
165,1564,0.6469545240799988,-0.07885413392048773,0.004823585193778951
166,1565,0.6625079663999989,-0.07807330683618888,0.004410306980898639
167,1566,0.6781293930799989,-0.07684276473322117,0.004198655363924777
168,1567,0.6936412581599988,-0.07524599267275231,0.004316380324615723
169,1568,0.7089944335999988,-0.07297009057233161,0.00433048726551548
170,1569,0.7241687026399989,-0.0715661876058445,0.004476720665625637
171,1570,0.7387164904399989,-0.07006483552693742,0.0044344006545351256
172,1571,0.7533542182799987,-0.06801511314157974,0.0043172483410597725
173,1572,0.7683518974799989,-0.06631966458728773,0.004327505767900244
174,1573,0.7832920037199991,-0.06433753848505012,0.004267523566943206
175,1574,0.7985434607599989,-0.06343380936355875,0.004165284135367707
176,1575,0.8143646805999991,-0.06299675301179233,0.004369782303326071
177,1576,0.829861453519999,-0.06315507951678014,0.00424701809294206
178,1577,0.845208877399999,-0.06479778634449335,0.0039378212693950195
179,1578,0.860541430679999,-0.06495442924384204,0.0037738508449899457
180,1579,0.8762587342399989,-0.0651315785177794,0.0036857310935551253
181,1580,0.8913323197999989,-0.06412444242484085,0.003521726157618356
182,1581,0.906227456999999,-0.06185557042822785,0.0030677480689269778
183,1582,0.920519046479999,-0.060145469015583944,0.002883045845981616
184,1583,0.9342353974799992,-0.057814659175793676,0.0027310749087663968
185,1584,0.9476115261599991,-0.05598027574871309,0.002662485906580876
186,1585,0.9604471310799991,-0.05430199040603921,0.002832076343325863
187,1586,0.9733603301199991,-0.053017030952482565,0.0029242625635341733
188,1587,0.986031762679999,-0.051746099004223875,0.0031473789182612177
189,1588,0.9984944603199991,-0.05098984730543445,0.003193072307904722
190,1589,1.0108685797999992,-0.05118931475154583,0.0031628601352990493
191,1590,1.022930221119999,-0.05065150172735129,0.0031847065775222737
192,1591,1.0345067616799992,-0.04999443097887992,0.0031867096022645232
193,1592,1.046248705399999,-0.04953935783171477,0.0032187419731998356
194,1593,1.0580766871999994,-0.04905666762680473,0.003219519263398212
195,1594,1.0693910714399995,-0.04833751104920224,0.0032241187086145457
196,1595,1.080601907559999,-0.04813236540026032,0.003267505009751197
197,1596,1.0916100975599994,-0.046786639706953265,0.003216863984620768
198,1597,1.1022978991199992,-0.04459712827354319,0.0030109865315799712
199,1598,1.1125982038399993,-0.04233468725567746,0.0029148387538908585
200,1599,1.1227278456399992,-0.038269353027717175,0.002727010890619514
201,1600,1.1322894146799993,-0.036448833509348286,0.002590959771908268
202,1601,1.1417202807599993,-0.03599205125342781,0.002642378013254273
203,1602,1.1500996793599996,-0.035027948895451626,0.0026504430059316624
204,1603,1.1579330079599992,-0.03536155360095707,0.00246837725359946
205,1604,1.1649570948399997,-0.03503048512858451,0.0024181625337022284
206,1605,1.1703263459599995,-0.034376736403588355,0.002357482998179033
207,1606,1.1761459291599996,-0.032900627656131366,0.002359081728726208
208,1607,1.1813524913999998,-0.030915486275937914,0.0024141706126734677
209,1608,1.1869672221999996,-0.02926551080513891,0.002452753611162496
210,1609,1.1928084075199994,-0.026032423855018947,0.002503558188991778
211,1610,1.1987608285599995,-0.02430517522293209,0.0024509784735055125
212,1611,1.2046325079599995,-0.024343930511286874,0.0021849951899462062
213,1612,1.2111057645999996,-0.023320438841875308,0.0020205613913070715
214,1613,1.2179620686799997,-0.02176145856030006,0.0020108129376152912
215,1614,1.2249813977199997,-0.021401355852838925,0.001990174303344213
216,1615,1.2323334594799997,-0.019541542416725472,0.0020929444165385153
217,1616,1.2396156840399999,-0.017405119405940247,0.002317650819838773
218,1617,1.2467857317199997,-0.014598011452294932,0.0019564910451462312
219,1618,1.2540665365999997,-0.012550130846373088,0.001902365538178703
220,1619,1.2614375152399997,-0.012237828245522072,0.001650038332843295
221,1620,1.2689958028799997,-0.011317562946105166,0.0017203467232896569
222,1621,1.2763206491599997,-0.010950097007253823,0.0019588454221208616
223,1622,1.2826530707999997,-0.010196749532268432,0.002147698661198389
224,1623,1.2882271369999998,-0.00797041672256708,0.002142344604110792
225,1624,1.29261486976,-0.006401809165294659,0.0021023076052501238
226,1625,1.2955354237599999,-0.004264573268918957,0.0018750076496622413
227,1626,1.29780130496,-0.0018816158619411173,0.001789339922306453
228,1627,1.29936758668,-0.0007766165616479612,0.0017894319302904486
229,1628,1.3004009128,0.00129950268454036,0.002086815415938131
230,1629,1.3012454798,0.002352925495972451,0.0023839729481132544
231,1630,1.30193567484,0.002547063276040724,0.0025502740298614696
232,1631,1.30239105484,0.005372149877124097,0.0024686551548793985
233,1632,1.3026515893600004,0.008283948179477335,0.0022984777873082474
234,1633,1.3032290552800003,0.01069825595694276,0.002377190794493166
235,1634,1.30376548604,0.013319624043997221,0.002289317721010944
236,1635,1.30379675588,0.014779519943840861,0.002302537353883105
237,1636,1.3038462092800003,0.016615290936379628,0.0026704310702907216
238,1637,1.30388783032,0.019392813885188244,0.0026185310704751707
239,1638,1.3033249759600003,0.021725248428754288,0.0025847098061211075
240,1639,1.3028072655200005,0.02401161884953937,0.0026418791489844534
241,1640,1.3013783204000005,0.026193528846153093,0.002585098858491527
242,1641,1.2977616812800004,0.028200272059090287,0.002545217450162583
243,1642,1.2928990330400005,0.03146460801521065,0.002725980782610241
244,1643,1.2866993513600005,0.034825239557609106,0.003051911133150777
245,1644,1.2788633456400007,0.03755000929943175,0.0032543991602294146
246,1645,1.2699179371600005,0.040117335424654864,0.003519037206947983
247,1646,1.2601729441600007,0.042127254055653256,0.00386656140118047
248,1647,1.2490292754000005,0.04493438782233812,0.003864504436528526
249,1648,1.2376012046000007,0.04904124174278125,0.003875055416497577
250,1649,1.226333863960001,0.05380503365427168,0.003948075510170151
251,1650,1.214302233840001,0.05832323968707593,0.00414717805188228
252,1651,1.2025860860400008,0.061807859743236326,0.004237660701137677
253,1652,1.1900239337600012,0.0650911972092391,0.004493723509995794
254,1653,1.176451347400001,0.06793167586869281,0.00487970241944545
255,1654,1.161268049840001,0.07104833593387741,0.00507088369838367
256,1655,1.142685302440001,0.07533014537919025,0.005112955853967513
257,1656,1.1211362136400014,0.07953017832256981,0.005131640984734298
258,1657,1.0959975248400013,0.08528234491782205,0.005269724662522967
259,1658,1.0687428121200016,0.09246497975890783,0.00543338058792067
260,1659,1.0400873806000015,0.09863726965248926,0.005873235491917535
