i_lambda,lambda,logA,run
147,1546,0.277229505461359,1
148,1547,0.297799614060544,1
149,1548,0.31814736743877,1
150,1549,0.337878417685621,1
151,1550,0.357313483121419,1
152,1551,0.376268099562932,1
153,1552,0.39511557248161,1
154,1553,0.413808564751401,1
155,1554,0.432390955608019,1
156,1555,0.451209534152304,1
157,1556,0.469627542778087,1
158,1557,0.487526314520443,1
159,1558,0.505021270134077,1
160,1559,0.522320973326965,1
161,1560,0.539719642806426,1
162,1561,0.556833024934701,1
163,1562,0.574091005187199,1
164,1563,0.591380935948425,1
165,1564,0.607719153650401,1
166,1565,0.623768624388487,1
167,1566,0.639404807100943,1
168,1567,0.654701012736087,1
169,1568,0.670494874300415,1
170,1569,0.685840438079797,1
171,1570,0.700861531521184,1
172,1571,0.716543987960934,1
173,1572,0.732469012043946,1
174,1573,0.748519481131605,1
175,1574,0.764666988606449,1
176,1575,0.781336843664541,1
177,1576,0.797693138199261,1
178,1577,0.814142311580133,1
179,1578,0.82993059131416,1
180,1579,0.845541147349823,1
181,1580,0.861066295181365,1
182,1581,0.876024721048929,1
183,1582,0.890890722515404,1
184,1583,0.90603355466393,1
185,1584,0.920370269112712,1
186,1585,0.933978188315896,1
187,1586,0.947615108993413,1
188,1587,0.960935234824827,1
189,1588,0.974249612747433,1
190,1589,0.987510746368434,1
191,1590,1.00031735122303,1
192,1591,1.01271833753883,1
193,1592,1.02525507484312,1
194,1593,1.03783498276105,1
195,1594,1.04991626763225,1
196,1595,1.06206343594182,1
197,1596,1.07359251268632,1
198,1597,1.08445641568342,1
199,1598,1.09482445480797,1
200,1599,1.10468934177011,1
201,1600,1.11440192999042,1
202,1601,1.12378037582563,1
203,1602,1.13263087852067,1
204,1603,1.14102890093656,1
205,1604,1.14938385855559,1
206,1605,1.15722638562629,1
207,1606,1.16484984656999,1
208,1607,1.17233612251532,1
209,1608,1.1796347008636,1
210,1609,1.1861798092485,1
211,1610,1.193502184628,1
212,1611,1.20096644648814,1
213,1612,1.20896095102646,1
214,1613,1.21770994743918,1
215,1614,1.22608262550085,1
216,1615,1.23492642776481,1
217,1616,1.24354018158725,1
218,1617,1.2520369232769,1
219,1618,1.26043831607303,1
220,1619,1.26810113970038,1
221,1620,1.2754585067428,1
222,1621,1.28169159854716,1
223,1622,1.28720212024885,1
224,1623,1.2925905632886,1
225,1624,1.29737035485882,1
226,1625,1.30172069591122,1
227,1626,1.30577134053573,1
228,1627,1.30890096376305,1
229,1628,1.31155809666529,1
230,1629,1.31459208211009,1
231,1630,1.31725589969337,1
232,1631,1.31936070273321,1
233,1632,1.32153424759549,1
234,1633,1.32344842635521,1
235,1634,1.32506225351952,1
236,1635,1.32678087214002,1
237,1636,1.32818158588984,1
238,1637,1.32919664909815,1
239,1638,1.32934588083649,1
240,1639,1.32909376064563,1
241,1640,1.32857968016132,1
242,1641,1.32610731125596,1
243,1642,1.32205675584475,1
244,1643,1.31663492179529,1
245,1644,1.30976359943946,1
246,1645,1.3020270391769,1
247,1646,1.29372072708547,1
248,1647,1.28442125972369,1
249,1648,1.2742622151678,1
250,1649,1.26432613002752,1
251,1650,1.25396046811387,1
252,1651,1.24342410095227,1
253,1652,1.23220420590345,1
254,1653,1.21953016217946,1
255,1654,1.20478227802452,1
256,1655,1.18703408365989,1
257,1656,1.16714653340597,1
258,1657,1.14400771442506,1
259,1658,1.11852507196572,1
260,1659,1.09186067264632,1
261,1660,1.06418372176195,1
262,1661,1.03653840448557,1
263,1662,1.01048216745809,1
264,1663,0.986966238446742,1
265,1664,0.965639040836338,1
266,1665,0.947905745066535,1
267,1666,0.932612460814644,1
268,1667,0.919739896322389,1
269,1668,0.908106672098607,1
270,1669,0.897022557181302,1
271,1670,0.885322271885409,1
272,1671,0.871025475323682,1
273,1672,0.854616101643745,1
274,1673,0.833954064423551,1
275,1674,0.809380270701985,1
276,1675,0.781230303575365,1
277,1676,0.748280993925826,1
278,1677,0.711364374227933,1
279,1678,0.671115535214668,1
280,1679,0.626813090508843,1
281,1680,0.578491296443264,1
282,1681,0.526189321972787,1
283,1682,0.469826170556344,1
284,1683,0.409457321203224,1
285,1684,0.344659859083369,1
286,1685,0.276542558071489,1
287,1686,0.203873584973842,1
288,1687,0.130058467241698,1
289,1688,0.0521036524696578,1
290,1689,-0.024855978192477,1
291,1690,-0.104142898456152,1
292,1691,-0.180473162895123,1
293,1692,-0.256902719851834,1
294,1693,-0.330675370608725,1
295,1694,-0.402390231775093,1
296,1695,-0.474798603510275,1
297,1696,-0.547380465274397,1
298,1697,-0.62388323761487,1
299,1698,-0.70299957729604,1
300,1699,-0.784062268882246,1
301,1700,-0.865631525368048,1
1,1400,-0.50502978050653,2
2,1401,-0.568266547629725,2
3,1402,-0.63137133030675,2
4,1403,-0.691376845195318,2
5,1404,-0.749570327256389,2
6,1405,-0.804971587359929,2
7,1406,-0.85803530044081,2
8,1407,-0.909022266726041,2
9,1408,-0.956805026559296,2
10,1409,-1.00118941084647,2
11,1410,-1.04299095532218,2
12,1411,-1.08103372108904,2
13,1412,-1.11582983531054,2
14,1413,-1.14774848869582,2
15,1414,-1.17614962026337,2
16,1415,-1.20173278000554,2
17,1416,-1.22444111062509,2
18,1417,-1.24478973460098,2
19,1418,-1.2636068001586,2
20,1419,-1.28068375907351,2
21,1420,-1.29658666898401,2
22,1421,-1.31162380151413,2
23,1422,-1.32535548865464,2
24,1423,-1.33826076615793,2
25,1424,-1.35050250254223,2
26,1425,-1.36199217423869,2
27,1426,-1.37249664257781,2
28,1427,-1.38214911928548,2
29,1428,-1.39129272533487,2
30,1429,-1.39975852323983,2
31,1430,-1.40718694250498,2
32,1431,-1.41401520867853,2
33,1432,-1.41985130367653,2
34,1433,-1.42446545224061,2
35,1434,-1.42870369531981,2
36,1435,-1.43230524713149,2
37,1436,-1.43502941132649,2
38,1437,-1.43727205948189,2
39,1438,-1.43868875169218,2
40,1439,-1.43935759915449,2
41,1440,-1.43962003575441,2
42,1441,-1.43937263733039,2
43,1442,-1.43876416495205,2
44,1443,-1.43789376671731,2
45,1444,-1.43647641278127,2
46,1445,-1.43450989834438,2
47,1446,-1.43224597181336,2
48,1447,-1.42974587514607,2
49,1448,-1.42710254352296,2
50,1449,-1.42439265455241,2
51,1450,-1.42144873146633,2
52,1451,-1.4185470133327,2
53,1452,-1.41525792523407,2
54,1453,-1.41151944595161,2
55,1454,-1.40747616264963,2
56,1455,-1.40317698231954,2
57,1456,-1.39854872334669,2
58,1457,-1.39352278517714,2
59,1458,-1.38821989642536,2
60,1459,-1.38235845349877,2
61,1460,-1.37623333230344,2
62,1461,-1.36911570909235,2
63,1462,-1.36154328561597,2
64,1463,-1.3531690141654,2
65,1464,-1.34400848779432,2
66,1465,-1.33375497612245,2
67,1466,-1.32297145243099,2
68,1467,-1.31155830255612,2
69,1468,-1.29915546960914,2
70,1469,-1.28641104502243,2
71,1470,-1.27313165175445,2
72,1471,-1.25889335529858,2
73,1472,-1.24435662992488,2
74,1473,-1.22914704340415,2
75,1474,-1.21307023159665,2
76,1475,-1.19672216093275,2
77,1476,-1.17980051193147,2
78,1477,-1.16236583491385,2
79,1478,-1.1445751335626,2
80,1479,-1.12648507581054,2
81,1480,-1.10812103973547,2
82,1481,-1.08914179302922,2
83,1482,-1.0700326706776,2
84,1483,-1.05095477497247,2
85,1484,-1.03165389870573,2
86,1485,-1.01213361201074,2
87,1486,-0.992228087073333,2
88,1487,-0.971942590053304,2
89,1488,-0.951605470336822,2
90,1489,-0.930996134847293,2
91,1490,-0.910267557834683,2
92,1491,-0.889375250824909,2
93,1492,-0.868464440831716,2
94,1493,-0.847291654104279,2
95,1494,-0.826086826275349,2
96,1495,-0.805012897247391,2
97,1496,-0.78373173091931,2
98,1497,-0.762223662947041,2
99,1498,-0.740482710650073,2
100,1499,-0.718509706774587,2
101,1500,-0.696551475875433,2
102,1501,-0.674434480205557,2
103,1502,-0.652716980135304,2
104,1503,-0.630829455996128,2
105,1504,-0.608791792233928,2
106,1505,-0.586921008210751,2
107,1506,-0.56454945555161,2
108,1507,-0.542430863311927,2
109,1508,-0.520865028772027,2
110,1509,-0.498980155733836,2
111,1510,-0.477272937573408,2
112,1511,-0.455588697664549,2
113,1512,-0.433446303134778,2
114,1513,-0.411512522139594,2
115,1514,-0.389588909242356,2
116,1515,-0.367716477647424,2
117,1516,-0.346197881215723,2
118,1517,-0.3245820928638,2
119,1518,-0.303182532137877,2
120,1519,-0.281377217599287,2
121,1520,-0.259413919068312,2
122,1521,-0.238310460028945,2
123,1522,-0.21681875055111,2
124,1523,-0.195441902659321,2
125,1524,-0.174620860211023,2
126,1525,-0.153544545805508,2
127,1526,-0.1321550152839,2
128,1527,-0.111022280088801,2
129,1528,-0.0900043641054439,2
130,1529,-0.0690934835147975,2
131,1530,-0.0481656704409904,2
132,1531,-0.0272125599974342,2
133,1532,-0.00640494200679421,2
134,1533,0.0143170930463387,2
135,1534,0.0351276027929473,2
136,1535,0.0555344843070805,2
137,1536,0.0753839086876291,2
138,1537,0.0957817042661626,2
139,1538,0.116086758833944,2
140,1539,0.136924855469062,2
141,1540,0.158516135862473,2
142,1541,0.179660206329142,2
143,1542,0.200893372825937,2
144,1543,0.221963936105885,2
145,1544,0.242959591353458,2
146,1545,0.263805207452217,2
147,1546,0.284375405619419,2
148,1547,0.305171393309711,2
149,1548,0.325512272126311,2
150,1549,0.345129075737436,2
151,1550,0.364409227946699,2
152,1551,0.383504376388746,2
153,1552,0.402778875104822,2
154,1553,0.421821127317645,2
155,1554,0.440442825756412,2
156,1555,0.458770100993672,2
157,1556,0.476679432272752,2
158,1557,0.494309534378716,2
159,1558,0.51222561002604,2
160,1559,0.530408892533577,2
161,1560,0.548003629196896,2
162,1561,0.565254148987983,2
163,1562,0.581786096364264,2
164,1563,0.597786705783274,2
165,1564,0.614109123700055,2
166,1565,0.629820153830145,2
167,1566,0.645348571324637,2
168,1567,0.661308632455629,2
169,1568,0.676804130590714,2
170,1569,0.692005143940377,2
171,1570,0.707459842231172,2
172,1571,0.723180850423578,2
173,1572,0.739032274385196,2
174,1573,0.754903695300721,2
175,1574,0.771061090341708,2
176,1575,0.787656081389954,2
177,1576,0.80387047093488,2
178,1577,0.82018801202726,2
179,1578,0.836078081036009,2
180,1579,0.851716010064471,2
181,1580,0.867346251108855,2
182,1581,0.882932753435974,2
183,1582,0.897874501551568,2
184,1583,0.912584402064943,2
185,1584,0.926947533396828,2
186,1585,0.94078730093193,2
187,1586,0.954416510137451,2
188,1587,0.967793195153982,2
189,1588,0.981019421890273,2
190,1589,0.993880152676792,2
191,1590,1.00642724336964,2
192,1591,1.01875902631528,2
193,1592,1.03097304292644,2
194,1593,1.04287018049699,2
195,1594,1.05454073858047,2
196,1595,1.06623558537586,2
197,1596,1.07763984392177,2
198,1597,1.08875468787196,2
199,1598,1.0993007266585,2
200,1599,1.10959918489162,2
201,1600,1.11940470804133,2
202,1601,1.12858242429342,2
203,1602,1.13747950138273,2
204,1603,1.14618606450275,2
205,1604,1.15430305106157,2
206,1605,1.16163221363434,2
207,1606,1.16902362526787,2
208,1607,1.17569241721627,2
209,1608,1.18276092928589,2
210,1609,1.19009621865521,2
211,1610,1.19731719795744,2
212,1611,1.2042284475648,2
213,1612,1.21193328293958,2
214,1613,1.22042522691911,2
215,1614,1.22867283423023,2
216,1615,1.23764933492475,2
217,1616,1.24643386369101,2
218,1617,1.25443371286838,2
219,1618,1.2623511592499,2
220,1619,1.27022088667474,2
221,1620,1.27794626580167,2
222,1621,1.28474071546922,2
223,1622,1.29028540749993,2
224,1623,1.29466093683461,2
225,1624,1.298674439512,2
226,1625,1.30268975896403,2
227,1626,1.30621588247525,2
228,1627,1.3092435238496,2
229,1628,1.31196228228652,2
230,1629,1.31450333034551,2
231,1630,1.31677968196583,2
232,1631,1.31898862542053,2
233,1632,1.32128137485036,2
234,1633,1.32310640359656,2
235,1634,1.32431264563305,2
236,1635,1.32571900155096,2
237,1636,1.32678417581279,2
238,1637,1.32769044319946,2
239,1638,1.3284076803592,2
240,1639,1.32750321165668,2
241,1640,1.32570171012477,2
242,1641,1.32271569569031,2
243,1642,1.31814731266429,2
244,1643,1.31281782301687,2
245,1644,1.30636507421127,2
246,1645,1.29842925802406,2
247,1646,1.2894479503937,2
248,1647,1.27987967339438,2
249,1648,1.26993564493146,2
250,1649,1.25942777664735,2
251,1650,1.24825787713765,2
252,1651,1.23734491166069,2
253,1652,1.22529248483063,2
254,1653,1.21157696462088,2
255,1654,1.19647845082369,2
256,1655,1.17831544507028,2
257,1656,1.15800418339347,2
258,1657,1.13542384681083,2
259,1658,1.11010358409115,2
260,1659,1.0828716324828,2
261,1660,1.05515615809499,2
262,1661,1.02740805356078,2
263,1662,1.0009713918458,2
264,1663,0.977451225553599,2
265,1664,0.955962440400476,2
266,1665,0.937250968183417,2
267,1666,0.921177126771906,2
268,1667,0.908335710724522,2
269,1668,0.896311761126964,2
270,1669,0.884837729719953,2
271,1670,0.873429420163945,2
272,1671,0.858660604533062,2
273,1672,0.841387183151972,2
274,1673,0.820388305720494,2
275,1674,0.795227869763264,2
276,1675,0.766497360907087,2
277,1676,0.733203505657343,2
278,1677,0.695578597941182,2
279,1678,0.654585340485383,2
280,1679,0.609709126445621,2
281,1680,0.560671450960927,2
282,1681,0.507836706505952,2
283,1682,0.4512658830393,2
284,1683,0.390544059188087,2
285,1684,0.325227255109227,2
286,1685,0.256843812799379,2
287,1686,0.18412660087045,2
288,1687,0.110077534052818,2
289,1688,0.0318400025303827,2
290,1689,-0.0451443523180626,2
291,1690,-0.124533851304251,2
292,1691,-0.200537919311834,2
293,1692,-0.276062096668096,2
294,1693,-0.349631850987166,2
295,1694,-0.421500968832747,2
296,1695,-0.494086160478222,2
297,1696,-0.566613765102544,2
298,1697,-0.642132530716147,2
299,1698,-0.719927749797902,2
300,1699,-0.800177119024829,2
301,1700,-0.880813415915888,2
1,1400,-0.499342414316463,3
2,1401,-0.562559341635623,3
3,1402,-0.625088890368564,3
4,1403,-0.684986101104995,3
5,1404,-0.743218405475616,3
6,1405,-0.798781148533556,3
7,1406,-0.852099953368485,3
8,1407,-0.903915602499465,3
9,1408,-0.952565580737592,3
10,1409,-0.997058817701861,3
11,1410,-1.03927741956878,3
12,1411,-1.07759042356015,3
13,1412,-1.11263087550368,3
14,1413,-1.14524700393007,3
15,1414,-1.17404015452234,3
16,1415,-1.20023364928098,3
17,1416,-1.22324825005806,3
18,1417,-1.24360867151489,3
19,1418,-1.26277090512236,3
20,1419,-1.28017012780399,3
21,1420,-1.29666221031605,3
22,1421,-1.3120204218735,3
23,1422,-1.32591297272261,3
24,1423,-1.33916661137638,3
25,1424,-1.35152456368543,3
26,1425,-1.36277332885058,3
27,1426,-1.37339484437215,3
28,1427,-1.38327185489627,3
29,1428,-1.39253777393836,3
30,1429,-1.40125770715495,3
31,1430,-1.4088937948465,3
32,1431,-1.41566482264539,3
33,1432,-1.42177685227246,3
34,1433,-1.42698402406811,3
35,1434,-1.43145456242081,3
36,1435,-1.43529924642577,3
37,1436,-1.43857518595056,3
38,1437,-1.44085048338487,3
39,1438,-1.44232098041116,3
40,1439,-1.44328495973928,3
41,1440,-1.44340879431328,3
42,1441,-1.44317970950032,3
43,1442,-1.44303748473592,3
44,1443,-1.44237772638229,3
45,1444,-1.44137996853248,3
46,1445,-1.44011739475127,3
47,1446,-1.43789268020661,3
48,1447,-1.43520921317842,3
49,1448,-1.43257176920393,3
50,1449,-1.42937128400618,3
51,1450,-1.42613796227112,3
52,1451,-1.42330586936746,3
53,1452,-1.41995247170554,3
54,1453,-1.41647129953175,3
55,1454,-1.41325956884313,3
56,1455,-1.40904127560201,3
57,1456,-1.40412957799873,3
58,1457,-1.39918321273786,3
59,1458,-1.39373341529149,3
60,1459,-1.38779484157892,3
61,1460,-1.3820982034475,3
62,1461,-1.37530363362128,3
63,1462,-1.3677125367955,3
64,1463,-1.35924131720489,3
65,1464,-1.35023887382073,3
66,1465,-1.33975757803323,3
67,1466,-1.32808809782256,3
68,1467,-1.31647302506085,3
69,1468,-1.3040203288835,3
70,1469,-1.29111492721614,3
71,1470,-1.27785153934957,3
72,1471,-1.26379441593739,3
73,1472,-1.24925492155997,3
74,1473,-1.23368565133686,3
75,1474,-1.21762248155748,3
76,1475,-1.2010663475785,3
77,1476,-1.18394516137232,3
78,1477,-1.16676063389444,3
79,1478,-1.14862236170028,3
80,1479,-1.13001330046832,3
81,1480,-1.11153153672846,3
82,1481,-1.0921595852446,3
83,1482,-1.07267649521984,3
84,1483,-1.05360569926493,3
85,1484,-1.03413312874457,3
86,1485,-1.01444314332935,3
87,1486,-0.994267327026399,3
88,1487,-0.973734663517218,3
89,1488,-0.953088627792965,3
90,1489,-0.931873687277257,3
91,1490,-0.910768137319512,3
92,1491,-0.889752729200511,3
93,1492,-0.868678171381541,3
94,1493,-0.84741345167083,3
95,1494,-0.825991532107689,3
96,1495,-0.804539444656897,3
97,1496,-0.783117146484111,3
98,1497,-0.761423102057336,3
99,1498,-0.739634925931734,3
100,1499,-0.717927172476571,3
101,1500,-0.696149780437132,3
102,1501,-0.673775677086773,3
103,1502,-0.652211676177876,3
104,1503,-0.630540168533878,3
105,1504,-0.608179943510141,3
106,1505,-0.586046245860206,3
107,1506,-0.563534638757531,3
108,1507,-0.541027869465615,3
109,1508,-0.519040058922735,3
110,1509,-0.497182939074871,3
111,1510,-0.475665128800951,3
112,1511,-0.454098375643176,3
113,1512,-0.432143286513764,3
114,1513,-0.410218197087359,3
115,1514,-0.388101828541805,3
116,1515,-0.365684411377339,3
117,1516,-0.343611440867583,3
118,1517,-0.321694219780795,3
119,1518,-0.299930737207629,3
120,1519,-0.278179981620919,3
121,1520,-0.256400063299973,3
122,1521,-0.235252960770187,3
123,1522,-0.213681471018217,3
124,1523,-0.192273572506056,3
125,1524,-0.171576147314108,3
126,1525,-0.150505344678572,3
127,1526,-0.129189458610869,3
128,1527,-0.108139723078883,3
129,1528,-0.0870343702798331,3
130,1529,-0.0660970869289501,3
131,1530,-0.0451836436244976,3
132,1531,-0.024443264181093,3
133,1532,-0.00405625619617829,3
134,1533,0.0164456422114863,3
135,1534,0.0369407101626759,3
136,1535,0.0573046444314685,3
137,1536,0.0774505956461861,3
138,1537,0.0979061757524902,3
139,1538,0.118211974845399,3
140,1539,0.139009064504155,3
141,1540,0.160463893569296,3
142,1541,0.181670450343468,3
143,1542,0.203142999591252,3
144,1543,0.224191983941852,3
145,1544,0.245201873584863,3
146,1545,0.266117403114142,3
147,1546,0.28623405316486,3
148,1547,0.306689237365945,3
149,1548,0.327256033545817,3
150,1549,0.347138011810319,3
151,1550,0.36713910769394,3
152,1551,0.38677694027473,3
153,1552,0.405679677798492,3
154,1553,0.424372630639454,3
155,1554,0.442699166512417,3
156,1555,0.460846532490434,3
157,1556,0.478472230755157,3
158,1557,0.495616902259703,3
159,1558,0.513165970976702,3
160,1559,0.530549251665997,3
